restID,name,city,phone_no,location,latitude,longitude,cuisines,ratings,number of reviews,restaurant_url,images_url
22,Grill & Chill Restaurant,Hurghada,+20 109 564 1044,"Hurghada New Marina Blvd., Hurghada Egypt",27.226939,33.8413736,"International,Grill,Egyptian,Steakhouse,Bar,Seafood,Barbecue,European",5,"1,059 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRlabJC2cI0K18EIF9v8Mr0LjakJEG4miBswkUZazRLdCbFMoECt9E_cRZew&s
23,Granada,Hurghada,+20 102 514 4220,"Old Sheraton Road 200 Meters After Sunrise Hotel, Hurghada Egypt",27.2211674,33.8377134,"Italian,Seafood,French,International",4.5,"1,792 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTvOZQ3Nui0ESe8Kn2xKGVXPROiXcjSwPB5vb0JlK4o6dlwarbuCcWsZ3yUw&s
24,Hangover Bar & Grill,Hurghada,+20 127 078 8121,"Sakala Sheraton St Sakala, Hurghada 1379 Egypt",27.2258842,33.8409487,"Italian,Bar,Barbecue,Grill,Pub",5,161 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMi0a9FO3rDk5oiWNbb-cX_g-FH_ccLRhZ8dII3BOYqtRoNkahkExziHbgKaA&s
25,Karibu - Bar & Restaurant,Hurghada,0103 0729253,"Downtown Building H17, Next to Go Bus station, El Gouna, Hurghada 84513 Egypt",27.402484,33.6511438,"Bar,International,European,Dining bars",5,151 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyXhvHrTG4w05AOCRCgyZfYosK3tJ6TEAfqj2XPyihHWkyqo8VMT3CwNTCGfc&s
26,Makisu Sushi & Wok - Sushi Restaurant Hurghada,Hurghada,+20 100 547 5257,"Kawter, British Resort, Hurghada 00000 Egypt",27.2578957,33.8116067,"Japanese,Sushi,Seafood,Healthy,Soups",5,99 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBd0v3PzCrFs8wYfy08xcSyJWmY_2UFyq8k2BOhsHHGNau2kV12NMiukvGz1k&s
27,S-Square Sushi Bar,Hurghada,+20 127 221 2266,"Yussif Afifi Road Steigenberger ALDAU Resort, Hurghada 84111 Egypt",27.2578957,33.8116067,"Japanese,Seafood,Sushi,Asian,Healthy",5,203 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2ROsbTurMFXK53L81VLPnalh5_4s7LNMsVe1b6GzVGydga-Yr2Ucw9IEMjQ&s
28,La Playa,Hurghada,+20 102 422 0440,"Kafr Kh 26 Opposite Credit Agricole / Girges Supermarket, El Gouna, Hurghada 84513 Egypt",27.402484,33.6511438,"International,Mediterranean,Seafood",5,165 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmgtM27Db0kGZ1nxKXrzqdQ4N0REdqKJIndavPFN7kwOcL7rKsU2OkXgNR7Xo&s
29,S-Square Sumo House,Hurghada,+20 127 221 2266,"Yussif Afifi Road, Hurghada Egypt",27.1853247,33.8269519,"Asian,Central Asian,Chinese,Japanese",5,195 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_v4eqM3xlLRNYz_aRTLu9r7S6n1ijRq2KFkLLzVAOuh-XffToyyVmIL_0H7A&s
30,Kahramana,Hurghada,+20 122 242 8204,Hurghada Egypt,27.224945,33.8408272,"Chinese,Indian,Asian,Egyptian",5,477 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBGEm7Zp_-gQ3iStdkKJnYAb4vudRqhuYZxtM7hVg763sIBOb218iI9z8n3OU&s
31,Breeze Restaurant & Bar - El Gouna,Hurghada,+20 120 283 8123,"Abu Tig Marina, El Gouna, Hurghada 14474 Egypt",27.4089919,33.6751707,"International,Mediterranean,European,Central European",4.5,392 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSi7ygTIkoSOfJqXV-SK5UbR6r8eHNmPI_8ahxAtJImH5FiGymeWTB9wzonjA&s
32,Las Vegas American Steakhouse Restaurant & Cafe,Hurghada,+20 128 524 2852,"Hurghada Marina Boulevard, Hurghada 84514 Egypt",27.22753,33.8422896,"American,Grill,Steakhouse,Barbecue",5,86 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS35np8Ri-5VyXtSbCzmZl6uYS-C9RSmbTmV7e7MC8nybWjiG9QV-orB4ZWzEc&s
33,Zia Amelia,Hurghada,+20 122 527 1526,"Next to Ebeid Supermarket Downtown, El Gouna, Hurghada Egypt",27.3956845,33.6754878,"Italian,Pizza,Mediterranean,European,Neapolitan,Campania,Southern-Italian",4.5,"1,223 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdKH79ks80M_IKk1qIqSQH78xXGWLAnWQnDyl9JCykPJMrNzK46-otASw8b9A&s
34,Le Garage - Gourmet Burger,Hurghada,+20 127 363 4920,"Abu Tig Marina, El Gouna, Hurghada Egypt",27.4090067,33.676445,"International,European,Diner",4.5,"1,439 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrDALtufxezJWNHLCy6mTWuh6Zq_egwnR1KaxpXhJ1W-0DOt6voXS5QNR54g&s
35,Che Guevara,Hurghada,+20 122 666 5120,"50 New Marina , al sakala square,gate 3, Hurghada Egypt",27.2578957,33.8116067,"Steakhouse,Bar",4.5,339 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRlprPl8Z8TTIpzVef9T7C4-bVvx16Ejn0xHaJdLkx3PbOmkhe7fOd1uTC7icU&s
36,The Snack Shack,Hurghada,+20 127 010 0774,"Inas El Degheidy Street Down Town, El Gouna, Hurghada Egypt",27.3966067,33.6748544,"Cafe,Fast Food",4.5,400 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTA8EX-Acn2bAisKrldS9qm05_mBKETE_5RtXlgLA_FVAdzkdOqDJpkw2i4ZW4&s
37,Stone Restaurant & Bar,Hurghada,+20 122 265 5809,"New Marina, Hurghada 11511 Egypt",27.2578957,33.8116067,"Swiss,Bar,International,Mediterranean",4.5,443 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSc0W0zGqsAyFBEKTsrwLsO8InaZJcMzlMJCR3QtUyHrklMZIkSVFmDokQmJQ&s
38,Bostan Lounge,Hurghada,+20 100 026 5639,"Intercontinental Behind Al Haya Hospital, Hurghada 84511 Egypt",27.2578957,33.8116067,International,5,100 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkBCYR13UA2D6BybrgRMHxpqXqGWt4ABe5tVe6Z1SIGCTtfb1_Kudj0m6PoEw&s
39,Jobo's Sports Bar & Restaurant,Hurghada,+20 102 888 8793,"Tamr Henna Square, El Gouna, Hurghada 84513 Egypt",27.402484,33.6511438,"Bar,European,Pub",4.5,700 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ3fsdvprIL3-PTIuveOQlcjcL7ipq90153ktt8556_uzOGVTfLQh5_xhZZzJs&s
40,Maritim Restaurant,Hurghada,+20 102 888 8926,"Abu Tig Marina, El Gouna, Hurghada 11122 Egypt",27.402484,33.6511438,"Seafood,Mediterranean,European",4.5,680 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-qb7Q0ak_u3JMIoLOhXpEyxaaHqefLC_T4EAO33qDBwKsSAq0PnqJRkpgXA&s
41,Caribbean Bar,Hurghada,+20 111 049 7436,"Sheraton Road Bella Vista Building, Hurghada 84511 Egypt",27.2578957,33.8116067,"Bar,Seafood,Mediterranean",4.5,676 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRmjNLeHFNoBskms005Qo4mX8sCQX2tN4rglUhnMqDzSAJZ7vY_XQNHX-I2BE&s
42,Sardinia Grill & Restaurant,Hurghada,+20 122 457 4533,"Dreem Beach, Hurghada 84511 Egypt",27.2578957,33.8116067,"Steakhouse,Seafood,Grill,Middle Eastern,Dining bars",5,51 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9DUX-2RBoBLAd7xVN6X8FNhuS-uLd_M_u0R-jkw1tU70__QgH8EbOG0sULg&s
43,Aqua restaurant,Hurghada,+20 65 3590026,"Safaga Road, Makadi Bay, Hurghada Egypt",26.9782842,33.8523286,Mediterranean,5,92 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD3yQ6X6JOA5nc1Hmu58LoueqbfkLEd1NyGRGJoeCb3QE2Rd9YC4trtNsdhg&s
44,Barten - Sushi Restaurant & Bar,Hurghada,+20 121 136 3885,"Abu Tig Marina, Mb 10-1 between Breeze And Lawrence, El Gouna, Hurghada 00000 Egypt",27.402484,33.6511438,"Japanese,Bar,Sushi,Asian,Japanese Fusion",5,76 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLEnLyzuE-YGeAWyimxDacEt8GOQ5cVlrSqw5sHHSoJTInwT-nAbNnV3AAsy4&s
45,Malu's Deli,Hurghada,+20 127 230 9108,"New Marina, El Gouna, Hurghada 84513 Egypt",27.402484,33.6511438,"Healthy,Deli",4.5,246 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmXqWtAp8L_uVenPkUtXFTDc5jSzw8p_65KwPJV9IEF0c0QJqD52qnJO8EBw&s
46,moods Restaurant & Beach Club,Hurghada,+20 122 090 0777,"Abu Tig Marina, El Gouna, Hurghada Egypt",27.4087903,33.6772263,"Bar,European,International",4,"1,122 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ25xbIB0QAx_D7K3kCQSjAOVHzuZxH2xfYgcOrzWOyN0ytd3oT8HI2zwPBYnU&s
47,The Three Corners Rihanna Restaurant,Hurghada,,"El Gouna, Hurghada Egypt",27.3992512,33.6738682,"Egyptian,European",4.5,212 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLs3VnSeHYv678MXzQEnmeMu-lCBDOFroI1tFxLHm8GGJ8JvYYcFHtLaKrzPI&s
48,Zouni Lounge Bar,Hurghada,+20 121 113 4443,"Downtown Promenade Next To Cooks Club, El Gouna, Hurghada Egypt",27.3951725,33.6753649,"Bar,International,Wine Bar,Dining bars,Pub",4.5,106 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSFAdr8KvoPX9QM9vVDL7n1d3fPv6whFw3QK-Q7YFvLeBUjmiZs9nZkUgLhw&s
49,Star Fish Restaurant,Hurghada,+20 65 3443751,"Sheraton Rd., Hurghada Egypt",27.2259519,33.8376714,"Seafood,Mediterranean,Middle Eastern,Soups,Egyptian",4,"1,002 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTemefqzzU39qgp7kIP09YaFIowQv5-KwDTSzr8ziyHBLMGdWThbr_0xYl7DeA&s
50,El Dar Darak Restaurant,Hurghada,+20 122 502 4413,"El Central El Seyahy St., Hurghada Egypt",27.2578957,33.8116067,"Barbecue,Middle Eastern,Egyptian",4.5,187 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTUL34OWgGN_y-6-72m-Vh5CKE0lm2uVKTSAhMUlk8xUsFlUzz1MVk8VE4lcg&s
51,The Lodge Restaurant,Hurghada,+20 122 416 3912,"Hurghada Marina, Hurghada 84517 Egypt",27.2578957,33.8116067,"Steakhouse,Seafood,European",4.5,404 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR39_AF7WaEd1KRCvn_RItpDCt3Y4XWWBUhewBetgZ7aWJEGl20VVDTnZGfsA&s
52,Thai Garden,Hurghada,+20 65 3463131,"Village Road Siva Grand Beach Resort, Hurghada Egypt",27.2578957,33.8116067,"Asian,Thai",4.5,233 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIxXHToomZB-Sxx5XvFvVxmqClBmcjFqDK2T9bpEHezypfPkxFRZHqFmG3y8o&s
53,Bordiehn`s Villa Kunterbunt,Hurghada,+49 1520 6099991,"Corniche Arabia Azur Resort, Hurghada 5555 Egypt",27.2415264,33.8456385,"Egyptian,International",4.5,203 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6q0rz3KpNO7GFxqW8cTP7wHZcq0qEfnULV6gmjQZB3l2DBzj1kSKgfYBW6Bk&s
54,Athena Greek Taverna,Hurghada,+20 100 568 4463,"Down Town, Beside Ebaed Market, El Gouna, Hurghada Egypt",27.396169,33.675574,"Mediterranean,Greek",4,470 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuiTf7XrgVSGBW6b2ZK2FfMVxsRubIPrStBwyVR_xiWFYPAqGXJ7AJvEmZeg&s
55,Maroush ElGouna,Hurghada,+20 109 682 6061,"Unnamed Road, El Gouna, Hurghada 84513 Egypt",27.402484,33.6511438,"International,Egyptian",5,67 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6Hhsh9gA1lCx5o-OxKG4yRsqg9SMIIpAy8aihN_Og8gPfK_wERcxhg-XtD-A&s
56,Almustafa Fish Restaurant,Hurghada,+20 128 696 6633,"Talateen Street, Hurghada Egypt",27.2405217,33.8412803,"Seafood,Mediterranean,Egyptian",5,36 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaYc185y9fkWdGlt1a5jSM6vdaS4laqv4fLSV5h0Ab5QY3vhV8xLQqUxSiKA&s
57,White Elephant Thai Resturant,Hurghada,+20 100 102 5117,"El Balad, Downtown, El Gouna, Hurghada Egypt",27.163252,33.8236005,"Asian,Thai",4,488 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-wgkRCQQS06WNCRJIgRb0fA5qokuzQmjaPrA7rBqcxcd7iUm8DR67lFfrzxo&s
58,Dunes Restaurant & Bar,Hurghada,+20 120 223 4751,"Downtown Infront of Dawar El Omda bridge, in Tamr henna square, El Gouna, Hurghada Egypt",27.3973863,33.6753132,"Steakhouse,Bar",4.5,196 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRulRwiQ-fP029AvJJkphFN5n3av05fCUDzH0FMkB8sbONb_LzOvFbp39AJ0uI&s
59,El Bahr,Hurghada,+20 127 852 7530,"Kite Center Road, El Gouna, Hurghada Egypt",27.4182777,33.6748008,Seafood,4.5,71 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlPj_waKDFxoUU4JfWB6_rBjt8RRLjpJgB0VyIX7UoaLBmrSzbc4HY0jZmWA&s
60,Chili's Hurghada,Hurghada,+20 120 600 2262,"Senzo Mall, Hurghada 84511 Egypt",27.2578957,33.8116067,"American,Native American,South American",4.5,93 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKsxNy-ylBUYl8iN5xppJ9w0avul-W1gQEm5kIuquM6mQ7Y3WcjXp6ijtLNes&s
61,Amsterdam Bar,Hurghada,+20 102 342 0728,"Hurghada New Marina, Hurghada Egypt",27.2264763,33.8411415,"Bar,Pub",4.5,77 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE8OveLkAm-wezcGtwaLpR7bu8t0pzmkHPNbK4TxAJ9Vc3lrUBakhAEjPqiw&s
62,Agra Restaurant,Hurghada,+20 115 318 5621,"Sheraton Rd. El Arousa Sq. Beside Golf Hotel, Hurghada Egypt",27.2578957,33.8116067,"European,Fast Food,Barbecue",4.5,172 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPxPl3QP-P7sLwmyQx_PGx2afbN3Ooe5dhrC8qHItbzRllRfS6_7e7ld65Ues&s
63,Charly's Curry & Creperie,Hurghada,+20 127 774 4675,"El Gouna, Hurghada Egypt",27.402484,33.6511438,"Cafe,Steakhouse,European",4.5,95 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2getfDQYHEKKZER7A1fN6dy7Qp5-sMbdNw4rdFFd7eHrx8kE0GRLuBXq11w&s
64,Little Buddha,Hurghada,+20 120211221,"Village Road Next to Sindbad Club Hotel, Hurghada Egypt",27.1901214,33.8307472,"Japanese,Bar,Sushi,Asian,International,Contemporary",4,550 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU9FOUpwZklTwbEdHSEMWxW_PRLyTgyDbObZHnqun3gmPd5OIMR-J7qpZUbBI&s
65,Ristorante Tuscany,Hurghada,+20 65 3404420,"El Corniche Road Hurghada Marriott Red Sea Resort, Hurghada Egypt",27.1970751,33.844908,"Italian,Mediterranean,European",4.5,83 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx5uFyUCTzUrMKycYzyhifKtxEc5wBPFSyRs2kWf0DcvbxFhl7uRERG_Llew&s
66,Lawrence El Gouna Restaurant,Hurghada,+20 127 536 0000,"Abu Tig Marina, El Gouna, Hurghada 84513 Egypt",27.4089943,33.6756694,"Steakhouse,Barbecue,Pub,Soups,Arabic",5,29 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSi9ySTwSZI_g7LhFOUg4XmoWJdPHHzMjNAyTTHNFaDIy3teZenQpqLLNX0rDI&s
67,El Sayadin Restaurant,Hurghada,+20 65 3544501,"Hill Villas Rd, El Gouna, Hurghada 84511 Egypt",27.3950828,33.685251,"Seafood,Arabic",4.5,161 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFz1lXilwYc0-KuNaJ_Gd5ntBK-nd0tazqSn7DlBSPvP3mtDY3Uero0R7XEy8&s
68,The Purrfect Cuppa English Tea Room,Hurghada,+20 128 876 6099,"Behind Nara Cafe El Kawther, Hurghada Egypt",27.1943398,33.8289237,"Healthy,Soups",5,92 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM2QJ94qWqQWTnMRgXKYxJNvjpe7WrgCzyLvG9jlmCwfr6O7ShiNLosOA2uQ&s
69,Manzoku,Hurghada,,"Safaga Road Sentido Mamlouk Palace, Hurghada 84511 Egypt",27.2578957,33.8116067,"Asian,Chinese,Taiwanese",5,39 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLqUW-NxHi7b-r3Kjf8EylPWm8eZrKO1ZJZQMnHZAjvIXN4kYvjuBBSFEtOnA&s
70,Nasaya Restaurant & Lounge,Hurghada,+20 120 126 0325,"SUNRISE Garden Beach Resort, Hurghada 84517 Egypt",27.2578957,33.8116067,"Sushi,Fusion,Seafood",4.5,82 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7aGUNpdxwUhxhn1LJ85ZOB6RvP-fSkthzvPP2aAlpMqoywVyFrf35eo3Jcqo&s
71,samos,Hurghada,+20 100 329 9662,"Sheraton Road, Hurghada Egypt",27.2219589,33.8372863,"Mediterranean,Greek,Egyptian",4.5,208 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzXnhLHlbdUocDOSARUjmy7kyRP6w7JYRPxYVDOgXBYWt1T13iaCDyMOSvmA&s
72,Mandarin Lebanese Resturant,Hurghada,+20 102 053 5454,"Siva Mall, El Mamsha, Hurghada Egypt",27.0902744,33.8478783,Lebanese,4.5,125 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ84JmRpUXn-MaNh_-T41dNGUCvuYMxNzmMenrbkmAkL_ZB8VqTuC_AyYh_Gw&s
