restID,Name,City,phone_no,location,Latitude,Longitude,cuisines,rate,number of reviews,restaurant_url,images_url
18,ESCA,Cairo,+20 101 115 5776,"4 Al Badeya Street Heliopolis, Cairo 11511 Egypt",30.0877619,31.3338351,"Mediterranean,Contemporary,Fusion,Sushi,European,Diner,International",5,532,https://www.tripadvisor.com/Restaurant_Review-g294201-d13446450-Reviews-ESCA-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0Ygf_p21rkkk4IF2UR1QTqkZMZfec27e2b1dnIAT6Z_NMX9R1UYE1GhSG-A&s
19,Xodo,Cairo,+20 2 35671870,"136 Nile Street, Cairo 12311 Egypt",30.0245147,31.2181634,"Brazilian,Steakhouse,Barbecue",5,210,https://www.tripadvisor.com/Restaurant_Review-g294201-d17637607-Reviews-Xodo-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzFPmEtQwQ_Tb3H3DW5e0Uhot8-5Xc8cEVuL8VoHEdqkqOKV5HG7QMxnZZUGE&s
20,Rainbow Bar,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis El Orouba Street, Cairo 11511 Egypt",30.1067689,31.3645509,"Bar,European,Wine Bar",5,114,https://www.tripadvisor.com/Restaurant_Review-g294201-d17189235-Reviews-Rainbow_Bar-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpEsWDbLXI9wVzQkoW8BOkuk74ub0km1XQ3CxkjVtLqzBpVxmAI-FPmM5_W6k&s
21,My Kind of Place,Cairo,+20 2 22677730,"Uruba Street, Cairo Egypt",30.1061828,31.365305,"International,Middle Eastern",5,207,https://www.tripadvisor.com/Restaurant_Review-g294201-d16673698-Reviews-My_Kind_of_Place-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpoBPrnF_agpxnezsGrFQ25FpZGPoQpbJQ4FfsLb5_sTm6SxW3YuZL7d1hlg&s
22,Opia Cairo,Cairo,+20 102 221 8977,"1115 Nile Corniche Ramses Hilton, Cairo 11511 Egypt",30.0503164,31.231863,"International,Bar,Pub",4.5,147,https://www.tripadvisor.com/Restaurant_Review-g294201-d14100550-Reviews-Opia_Cairo-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSln8eIwl_3jSHVIlU4wSm6IaIhb20suWNJWYkudczSU0JHKY4MhtWRNqR0LoA&s
23,Tao,Cairo,+20 2 26140061,"Dusit Thani Lakeview Cairo Hotel, Cairo 11511 Egypt",30.0260576,31.4552176,"Chinese,Japanese,Indian,Sushi,Asian",5,346,https://www.tripadvisor.com/Restaurant_Review-g294201-d12416746-Reviews-Tao-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD8nzuev6FzaCasK_Tk6VpdsSN46KCk_w5-eWPszWZjhrwWtpTx9moFdC2zA&s
24,Bar'Oro,Cairo,+20 2 25778899,"1113 Corniche El Nil St The Nile Ritz Carlton, Cairo 11221 Egypt",30.045822,31.2323535,"Italian,Bar,European,Wine Bar,International",5,123,https://www.tripadvisor.com/Restaurant_Review-g294201-d12850496-Reviews-Bar_Oro-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkSgWqDC5_XByIWUsEQba8CXfA_BWb48ha6Q5gaqjWrZSMo9j8-8YL0bh5cn0&s
25,The Grill Restaurant & Lounge,Cairo,+20 2 27988000,"InterContinental Cairo Semiramis Corniche El Nile Downtown, Cairo 11511 Egypt",30.0431423,31.2318248,"French,Steakhouse,European",5,455,https://www.tripadvisor.com/Restaurant_Review-g294201-d2700915-Reviews-The_Grill_Restaurant_Lounge-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHglq75Aj-93cKaSZozohyhZtNRWzJikR7rcMlWAbeeUuks67fNNR2eWx1fw&s
26,JW Steakhouse Cairo Mirage City,Cairo,+20 2 24065899,"Ring Road, Cairo 11511 Egypt",30.071991,31.434417,"Steakhouse,International",4.5,213,https://www.tripadvisor.com/Restaurant_Review-g294201-d3780620-Reviews-JW_Steakhouse_Cairo_Mirage_City-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6JMrvXr2L_IXvlQGG7s36ODLiuoPAUqOlbGgHbtRmHgOzg9K-PEoVMVgWO78&s
27,Indira Indian Restaurant,Cairo,+20 2 24803007,"Holiday Inn Cairo Citystars Ali Rashed Street, Cairo 11511 Egypt",30.0740861,31.3439836,"Indian,Asian,Healthy",5,1470,https://www.tripadvisor.com/Restaurant_Review-g294201-d3175542-Reviews-Indira_Indian_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgcUU6JwLsWSeQhUZMsWP8XxhITQhXj5P3AKskRe90l9C7V8pkyuFu2L2u2BU&s
28,Le Marche,Cairo,+20 2 22677730,"Uruba Street El Orouba Street, Cairo 11511 Egypt",30.0442731,31.2542983,French,5,130,https://ar.tripadvisor.com/Restaurant_Review-g294201-d16673694-Reviews-Le_Marche-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREyxr4nrz5Q3mMkewYbfN0qtWCOOx8MDG9M9LVs9kaEl79XbfA7SwLPhT2yg&s
29,L'Uliveto Italian Restaurant,Cairo,+20 2 24619494,"Nile City Towers- 2005 B Corniche El Nil, Cairo 11311 Egypt",30.0719817,31.2276068,"Italian,Mediterranean,European",5,231,https://www.tripadvisor.com/Restaurant_Review-g294201-d14138065-Reviews-L_Uliveto_Italian_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQOGSCAPDL52XIA4Cct4NK7_zohFRS06H2j_kzr-iU0OQFiFbH1ZoXFfZ5JDs&s
30,Pizza Bar,Cairo,+20 2 22677730,"El Saheed Sayed Zakaria Street Heliopolis Towers, Cairo 11511 Egypt",30.0963742,31.3772052,"Bar,Cafe",5,184,https://www.tripadvisor.com/Restaurant_Review-g294201-d3329954-Reviews-Pizza_Bar-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9PwSKxtxnoDp5rOmSsy-9_qMQbb3sDpqgrtyK9y4WP6UcH5-TjA-rXZRA1g&s
31,Gianniniâs New York Italian Restaurant,Cairo,+20 102 221 6883,"Galae Square Sheraton Cairo Hotel & Casino, Cairo 11511 Egypt",30.0392592,31.2201414,"Italian,Mediterranean,European,Sicilian,Southern-Italian",5,249,https://www.tripadvisor.com/Restaurant_Review-g294201-d13979771-Reviews-Giannini_s_New_York_Italian_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt34med6vrQgvrkX2cO60Cu33tQFeDJrpFJV2Rtdz8-UHsHfp_7QRdM2PMpQ&s
32,Bellini Cocktail Lounge,Cairo,+20 2 24800009,"InterContinental Cairo Citystars, In Hotel - Lobby Level Omar Ibn El Khattab St., Cairo 11511 Egypt",30.1301958,31.3115106,"Bar,Pizza,European,Pub",5,198,https://www.tripadvisor.com/Restaurant_Review-g294201-d2614863-Reviews-Bellini_Cocktail_Lounge-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8IVvHnb4WU8OHEqUivqAibHcbbEF3ysLdkzvpmnr0Me3nV8a0FQGQN6SFCXE&s
33,Bab Al Qasr,Cairo,+20 109 711 1151,"Royal Maxim Palace Kempinski Hotel, First Settlement, New Cairo First Settlement, New Cairo, Cairo 11477 Egypt",30.0610113,31.4182826,"Lebanese,Middle Eastern,Egyptian",5,469,https://ar.tripadvisor.com/Restaurant_Review-g294201-d10210903-Reviews-Bab_Al_Qasr-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSndTBFYFzHG_amqbmjVDpoow6LKdf4S1-Ar6s30H-E36gVIDGwB8mhWu3D3Ik&s
34,Sushiramis,Cairo,+20 2 27988188,"InterContinental Cairo Semiramis Hotel Corniche El Nil, Cairo 11511 Egypt",30.042987,31.2324871,"Japanese,Sushi,Asian",5,193,https://www.tripadvisor.com/Restaurant_Review-g294201-d2700922-Reviews-Sushiramis-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJp6KVI_eCxXpAzxJuutpslIoCvABx60m93CUXfh9k5Vr9k4QnrLQ76MkPQ70&s
35,Maestro Italian Restaurant,Cairo,+20 2 24800100,"InterContinental Cairo Citystars Omar Ibn El Khattab St. Heliopolis, Cairo 11511 Egypt",30.0725424,31.3479856,"Pizza,Italian,Mediterranean,European",5,536,https://www.tripadvisor.com/Restaurant_Review-g294201-d2608254-Reviews-Maestro_Italian_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_XDFqILGeeWQBZEh9yEYsQIRRa36rDMHrBGthkYi7Co9WnLbQ-tshJFVAWA&s
36,Namaste Indian Restaurant,Cairo,+20 106 476 1111,"1115 Corniche El Nile Ramses Hilton, Cairo 12344 Egypt",30.050373,31.232095,"Indian,Asian",4.5,423,https://www.tripadvisor.com/Restaurant_Review-g294201-d8591848-Reviews-Namaste_Indian_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxPc0R80p6EiOEfumvmY7wPZ1MLNW6KN-nTPSiONh16KmTe9uBNYoMW46V0UE&s
37,Windows Restaurant,Cairo,+20 2 24803007,"Ali Rashed Street Holiday Inn Cairo - Citystars, Cairo 11511 Egypt",30.0740861,31.3439836,"Mediterranean,European,Egyptian,International",4.5,296,https://www.tripadvisor.com/Restaurant_Review-g294201-d2515857-Reviews-Windows_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzJAPzkle0stFwEjpRowprbAI7vwdJydFhgN_8s1AscYIaDlnlTpodbkaU9g&s
38,Egyptian Night,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis El Orouba Street, Cairo 11511 Egypt",30.1067689,31.3645509,"Egyptian,Healthy,Middle Eastern",5,120,https://www.tripadvisor.com/Restaurant_Review-g294201-d4167599-Reviews-Egyptian_Nights-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJI_CCyBBFWfh82rv9TIeiU3R9XUfY4VqjeOZmJoEl8L2v0C2-J1QHj9Rwr3g&s
39,Pane Vino Restaurant,Cairo,+20 2 27988188,"Corniche El Nile Semiramis Intercontinental Hotel, Cairo 11511 Egypt",30.0444196,31.2357116,"Italian,Pizza,Mediterranean,European",4.5,475,https://www.tripadvisor.com/Restaurant_Review-g294201-d2628507-Reviews-Pane_Vino_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyitlRL8E2DpTFTLW7Ym3r2XuaD4hP08GvG9C-9af2H2FjCsYC0p5VyjaKQJA&s
40,Sabaya,Cairo,+20 2 27988188,"Corniche El Nil Semiramis InterContinental Cairo, Cairo 11511 Egypt",30.0444196,31.2357116,"Lebanese,Mediterranean,Middle Eastern,Egyptian",4.5,657,https://www.tripadvisor.com/Restaurant_Review-g294201-d1027608-Reviews-Sabaya-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuHjJy5QbIDvEGnTLxTd6Wx5o9vH0pSz1cdViUItmzI_HqwAyUNELP_T0Yrts&s
41,Reif Kushiyaki Cairo,Cairo,+20 128 044 6862,"5a By The Waterway, Cairo 11511 Egypt",30.0090063,31.4018097,"Japanese,Asian",5,67,https://www.tripadvisor.com/Restaurant_Review-g294201-d23401891-Reviews-Reif_Kushiyaki_Cairo-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTChmSfChq77qbzQ72T7GpFGSMUcctXvu0EVhIwt2O_ce-uOsivrhk8bNQgWeI&s
42,Koshary Abou Tarek,Cairo,+20 2 25775935,"Choppin ln Champollion, Cairo 11511 Egypt",30.0501856,31.2378303,"Fast Food,Middle Eastern,Egyptian",4.5,1527,https://www.tripadvisor.com.eg/Restaurant_Review-g294201-d1508799-Reviews-Koshary_Abou_Tarek-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9LB2Zk3tYgSi4e2169CkjTJFgo0zeMkABv9E1A2OAT5N3l_yNje1U0vorYA&s
43,Carlo's Le Pacha 1901,Cairo,+20 2 27350174,"Saray El Gezirah Street Zamalek, Cairo 11511 Egypt",30.0518511,31.2277596,"Pizza,Mediterranean,Pub,Bar,Middle Eastern,Egyptian",4.5,314,https://www.tripadvisor.com/Restaurant_Review-g294201-d14046817-Reviews-Carlo_s_Le_Pacha_1901-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR677ZlDvhlDWo4XIR4qdksjKx8MPUKRXJCvZXha8-EaUeXSWx4y_gIyWzqYw&s
44,Tokyo Korba,Cairo,1555836617,"13 El Thawra St, El Korba, Heliopolis, Cairo 4460242 Egypt",30.0904137,31.3262639,Japanese,5,56,https://www.tripadvisor.com/Restaurant_Review-g294201-d24035984-Reviews-Tokyo_Korba-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEstB7rP5HWvlKvRp-oNrslfeOUtx-tMeYsslhAWCGX5ERbchGnm5Vil20aR8&s
45,Ayadina Lebanese restaurant,Cairo,+20 101 521 1222,"3 Cleopatra street, Korba, Heliopolis Phase 1, 4th floor Citystars, Cairo 11511 Egypt",30.0879267,31.3247725,"Lebanese,Middle Eastern,Mediterranean",4.5,220,https://www.tripadvisor.com/Restaurant_Review-g294201-d5011124-Reviews-Ayadina_Lebanese_restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwN-oj44F32vnwehjxPTdOxPDg-tgWer3s3w_FzZj2Di66w-bndGafh1YcQNE&s
46,India along the Nile,Cairo,+20 2 27988188,"Corniche El Nil, Semiramis InterContinental Cairo, Cairo 11511 Egypt Garden City, Cairo 11511 Egypt",30.0428661,31.2320787,"Indian,Asian",4.5,127,https://www.tripadvisor.com/Restaurant_Review-g294201-d13382973-Reviews-India_along_the_Nile-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTaK20dyeEje6dCBLlMJ36RKabbzdp2qGVPNO9laudjibsbY76Gtmp17vAkzA&s
47,Lucca,Cairo,+20 109 711 1151,"Royal Maxim Palace Kempinski Cairo, First Settlement, New Cairo First Settlement, New Cairo, Cairo 11477 Egypt",30.0610113,31.4182826,"Italian,Pizza,Mediterranean,European,Wine Bar",4.5,220,https://www.tripadvisor.com/Tourism-g187898-Lucca_Province_of_Lucca_Tuscany-Vacations.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9dsxCTzbqu4j0-BBz8ZRlzxJQcfEXlkmfZpNLmHFR52m8IfflgipXfvV4TA&s
48,Taboula Lebanese Restaurant,Cairo,2027497326,"1 Latin America Street Garden City, Cairo 11511 Egypt",-4.4420385,-61.3268535,"Lebanese,Middle Eastern,Mediterranean,Grill,Egyptian",4.5,596,https://www.tripadvisor.com/Restaurant_Review-g294201-d1083400-Reviews-Taboula_Lebanese_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZroXS72fZLc8b8UVC5InMAMMl_-YiEi0Oa664amlZr-x8Fg1pHFb6o_BBLw&s
49,Plateau,Cairo,+20 2 24115588,"Ring Road, Cairo 11757 Egypt",30.0911375,31.1970426,"Bar,International,Pub",4.5,76,https://www.tripadvisor.com/Restaurant_Review-g294201-d11698899-Reviews-Plateau-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6RMms9uMMtuQODD8X4VwTGdCxKDnQkW2kA2m2MJPcqaiDlBCm66lGp-YcfQ&s
50,Naguib Mahfouz Cafe,Cairo,-5903586,"5 El Baddistan Lane Khan el-Khalili, Cairo 11511 Egypt",30.0444196,31.2357116,"Cafe,Middle Eastern,Egyptian",4.5,494,https://www.tripadvisor.com/Restaurant_Review-g294201-d1944490-Reviews-Naguib_Mahfouz_Cafe-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2cJA28tEQq5pRO-uTEnFoZxpdnVtdGaS08L8NuiCsXCWG2lW6CWMKw6YEGg&s
51,MARIA'S,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis El Orouba Street, Heliopolis, Cairo 11511 Egypt",30.1067689,31.3645509,Mexican,5,136,https://www.tripadvisor.com/Restaurant_Review-g294201-d3333671-Reviews-MARIA_S-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSiQA8q8RB-T-rNrstvdrdl-yPlRPqCQOOtJe-jso6QNuKfkf6GEZ9VjFfHOis&s
52,Aqua e Luce,Cairo,+20 2 22677730,"Heliopolis Towers Uruba Street, Heliopolis, Cairo 11511 Egypt",30.112315,31.3438507,International,5,93,https://www.tripadvisor.com.eg/Restaurant_Review-g294201-d3333675-Reviews-Aqua_e_Luce-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRD3yQ6X6JOA5nc1Hmu58LoueqbfkLEd1NyGRGJoeCb3QE2Rd9YC4trtNsdhg&s
53,What The Crust,Cairo,+20 100 576 4631,"10 Street 275 Mokarrar Maadi, Cairo 11511 Egypt",29.9696518,31.2751031,"Neapolitan,Campania,Southern-Italian,Italian,Pizza",5,74,https://www.tripadvisor.com/Restaurant_Review-g294201-d20812706-Reviews-What_The_Crust-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxHkEL9x0XmiUsPxsmfY0RPLrGi59Ql30NBWDCtjK21Aon5HZeJAjI-MHA&s
54,Roy's Smokehouse,Cairo,+20 2 27283000,"16 Saray El Gezirah St Zamalek, Cairo 11211 Egypt",30.0579086,31.2251126,American,4.5,102,https://www.tripadvisor.com/Restaurant_Review-g294201-d3750383-Reviews-Roy_s_Smokehouse-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkytEo78oIi8HX-2W943NMQzuBnTdccXwL-r8h_GCuLvqb8ZKMcnl4vvv_oRQ&s
