attraction_id,attraction_name,open_time,close_time,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords
99,Dokki Public Nile View: ,06:00 AM, 12:00 AM,4.4,1705,Park,,30.04385,31.24587,cairo,Park
100,Mamsha Ahl Misr: ,06:00 AM, 12:00 AM,4.5,13,Park,,30.03945,31.20253,cairo,Park
101,Golf Park And Dog Park: ,06:00 AM, 12:00 AM,4.5,3970,Tourist attraction,,30.06076,31.22747,cairo,Tourist attraction
102,Merryland Park: ,06:00 AM, 12:00 AM,4.3,595,Park,National Dog,30.07996,31.3308,cairo,Park National Dog
103,The Chinese Garden: ,06:00 AM, 12:00 AM,4.2,16200,Park,,30.09793,31.31898,cairo,Park
104,Child's Park: ,06:00 AM, 12:00 AM,4.3,122,Garden,,30.06524,31.31138,cairo,Garden
105,Nature Stillness Park: ,06:00 AM, 12:00 AM,4.2,13963,Park,,30.06196,31.3471,cairo,Park
106,Mokkatam Dog Park: ,06:00 AM, 12:00 AM,3.7,75,Park,,30.11386,31.33632,cairo,Park
107,Azbakeya Garden: ,06:00 AM, 12:00 AM,4,473,Park,dog,30.01671,31.28508,cairo,Park dog
108,Orman Garden: ,06:00 AM, 12:00 AM,3.8,5403,Garden,,30.05177,31.24779,cairo,Garden
109,My Park: ,06:00 AM, 12:00 AM,4.2,12526,Garden,Botanical,30.02904,31.21297,cairo,Garden Botanical
110,Rawdet ElNil Garden: ,06:00 AM, 12:00 AM,3.6,20,Park,,29.9619,31.27079,cairo,Park
111,FAMILY PARK: , 10:00 AM , 12:00 AM ,4.1,195,Garden,community,30.07621,31.22853,cairo,Garden community
112,Fostat City: ,06:00 AM, 12:00 AM,4.4,19509,Park,,30.08108,31.50177,cairo,Park
113,Al Zohriya Garden: ,06:00 AM, 12:00 AM,4.4,57,Park,city,30,31.23333,cairo,Park city
114,Kids Park: ,06:00 AM, 12:00 AM,4.2,27,Garden,Botanical,30.04582,31.22568,cairo,Garden Botanical
115,Lotus Park: ,06:00 AM, 12:00 AM,4.3,47,Park,,29.96616,31.24142,cairo,Park
116,Paradise Park: ,06:00 AM, 12:00 AM,4.1,916,Park,,30.04074,31.33517,cairo,Park
117,Cairo Tourist Walk: ,06:00 AM, 12:00 AM,4.2,692,Park,,30.06412,31.33006,cairo,Park
118,The Maidan Gardens: ,06:00 AM, 12:00 AM,4.9,15,Hiking area,,30.04442,31.23571,cairo,Hiking area
119,Bella Garden: ,06:00 AM, 12:00 AM,4.5,505,Park,Garden,29.95658,31.26712,cairo,Park Garden
120,Hadiqet Nil Elmaadi: ,06:00 AM, 12:00 AM,4.3,330,Garden,Park,30.11661,31.35131,cairo,Garden Park
121,Amusement Park Maadi Island: , 10:00 AM , 12:00 AM ,3.7,403,Park,,29.92999,31.28083,cairo,Park
122,Cairo Park: ,06:00 AM, 12:00 AM,3.9,54,Park,,29.96535,31.2381,cairo,Park
123,Naguib Mahfouz Park: ,06:00 AM, 12:00 AM,3.8,57,Park,,30.1025,31.56307,cairo,Park
124,Cairo Land: , 10:00 AM , 12:00 AM ,4,458,Park,,30.0498,31.34292,cairo,Park
125,Jewel Aqua Park: , 10:00 AM , 6:00 PM,4,170,Park,water,30.04449,31.2427,cairo,Park water
126,Bikes Park Mostqbal City: ,06:00 AM, 12:00 AM,4,1449,Park,water,30.04751,31.40129,cairo,Park water
127,KidZania Cairo: , 10:00 AM , 8:00 PM,4.1,141,Park,,30.1704,31.55526,cairo,Park
128,Dream Park: , 10:00 AM , 12:00 AM ,4.6,7712,Tourist attraction,Theme park Amusment,30.03128,31.40554,cairo,Tourist attraction Theme park Amusment
129,Helmya Garden: ,06:00 AM, 12:00 AM,4.3,22203,Park,Amusment Park theme,29.96468,31.05773,giza,Park Amusment Park theme
130,Al Moez Ldin Allah Al Fatmi: ,06:00 AM, 12:00 AM,3.9,714,Garden,Botanical,30.1088,31.32659,cairo,Garden Botanical
131,Mosque Sultan Al-Zahir Barquq: , 9:00 AM , 5:00 PM,4.7,1105,Notable street,,30.05094,31.26158,cairo,Notable street
132,Al-Aqmar Mosque: ,06:00 AM, 12:00 AM,4.9,8,Mosque,Religious Sites,30.0501,31.26122,cairo,Mosque Religious Sites
133,Qalawun Complex: , 9:00 AM , 4:00 PM,4.7,1254,Mosque,Religious Sites,30.0516,31.26204,cairo,Mosque Religious Sites
134,New Khan El Khalili Center: , 10:00 AM , 10:00 PM,4.7,768,Historical landmark,,30.04941,31.261,cairo,Historical landmark
135,Khan El Khalili Restaurant et Naguib Mahfouz Coffee Shop: , 10:00 AM , 12:00 AM ,4.2,151,Shopping mall,,30.0487,31.26128,cairo,Shopping mall
136,El Fishawy Cafe: ,06:00 AM, 12:00 AM ,4.3,"3,497",Cafe,,30.04807,31.26162,cairo,Cafe
137,Al-Hussain Mosque: ,06:00 AM, 12:00 AM,3.9,"3,062",Cafe,,30.04753,31.26236,cairo,Cafe
138,Mosque-Madrasa of Sultan Hassan: , 9:00 AM , 5:00 PM,4.6,"25,191",Mosque,Religious Sites,30.04777,31.26338,cairo,Mosque Religious Sites
139,Al-Rifa'i Mosque: , 9:00 AM , 5:00 PM,4.8,3397,Mosque,Religious Sites,30.03228,31.25617,cairo,Mosque Religious Sites
140,Mosque of Ibn Tulun: , 9:00 AM , 5:00 PM,4.8,2374,Mosque,Religious Sites,30.03271,31.257,cairo,Mosque Religious Sites
141,Qalawun Complex: , 9:00 AM , 4:00 PM,4.7,3477,Mosque,Religious Sites,30.02869,31.24939,cairo,Mosque Religious Sites
142,Sultan al-Mu'ayyad Mosque: , 9:00 AM , 4:00 PM,4.7,768,Historical landmark,,30.0494,31.26096,cairo,Historical landmark
143,Aqsunqur Mosque: , 9:00 AM , 5:00 PM,4.7,969,Mosque,Religious Sites,30.04334,31.25744,cairo,Mosque Religious Sites
144,Masjid Sultan Abo Elelaa: , 9:00 AM , 5:00 PM,4.7,440,Mosque,Religious Sites,30.03611,31.26028,cairo,Mosque Religious Sites
145,Mosque of Muhammad Ali: , 9:00 AM , 4:00 PM,4.7,1254,Mosque,Religious Sites,30.05157,31.26194,cairo,Mosque Religious Sites
146,Masjid Al-Mahmodyah: , 9:00 AM , 5:00 PM,4.6,2003,Mosque,Religious Sites,30.05645,31.22992,cairo,Mosque Religious Sites
147,Al-Hussain Mosque in Cairo: ,06:00 AM, 12:00 AM ,4.7,4316,Mosque,Religious Sites,30.0287,31.25991,cairo,Mosque Religious Sites
148,Al-Hakim Mosque: ,06:00 AM, 12:00 AM,4.7,78,Mosque,Religious Sites,30.03161,31.25774,cairo,Mosque Religious Sites
149,Mosque of Qanibay al-Rammah: , 9:00 AM , 5:00 PM,4.6,25191,Mosque,Religious Sites,30.04767,31.26319,cairo,Mosque Religious Sites
150,Mosque of al-Salih Tala'i: , 9:00 AM , 5:00 PM,4.7,8230,Mosque,Religious Sites,30.05455,31.26351,cairo,Mosque Religious Sites
151,Masjid Elmoaued Sheikh: , 9:00 AM , 5:00 PM,4.6,75,Mosque,Religious Sites,30.03227,31.25795,cairo,Mosque Religious Sites
152,Soliman Agha El Selehdar Mosque: , 9:00 AM , 5:00 PM,4.6,164,Mosque,Religious Sites,30.04235,31.25811,cairo,Mosque Religious Sites
153,Al-Azhar Mosque: ,06:00 AM, 12:00 AM,4.7,132,Historical landmark,Religious Sites Mosque,30.04295,31.2578,cairo,Historical landmark Religious Sites Mosque
154,Al Zahir Baybars Mosque: ,06:00 AM, 12:00 AM,4.6,251,Mosque,Religious Sites,30.05544,31.25165,cairo,Mosque Religious Sites
155,Al-Nour Mosque: ,06:00 AM, 12:00 AM,4.8,13807,Mosque,Religious Sites,30.04569,31.26269,cairo,Mosque Religious Sites
156,Abu Dahab Mosque: ,06:00 AM, 12:00 AM,4.5,3181,Mosque,Religious Sites,30.06263,31.26303,cairo,Mosque Religious Sites
157,Abo Heriba mosque,06:00 AM, 12:00 AM,4.7,7400,Mosque,Religious Sites,30.07528,31.28306,cairo,Mosque Religious Sites
158,Amir Khayrbak Funerary Complex:,06:00 AM, 12:00 AM,4.7,90,Mosque,Religious Sites,30.04597,31.26193,cairo,Mosque Religious Sites
159,Ad-Demerdash Mosque:,06:00 AM, 12:00 AM,4.7,119,Mosque,Religious Sites,30.04143,31.25962,cairo,Mosque Religious Sites
160,Prince Qayson mosque: ,06:00 AM, 12:00 AM,4.7,73,Mosque,Religious Sites,30.03572,31.26016,cairo,Mosque Religious Sites
161,Sulayman Pasha Mosque: ,06:00 AM, 12:00 AM,4.5,13,Mosque,Religious Sites,30.07518,31.27729,cairo,Mosque Religious Sites
162,Amr ibn Al-A'as Mosque: ,09:00 AM, 5:00 PM,4.7,570,Mosque,Religious Sites,30.03808,31.25469,cairo,Mosque Religious Sites
163,Sinan Pasha Mosque: ,09:00 AM, 4:00 PM,4.8,40,Mosque,Religious Sites,30.03105,31.26453,cairo,Mosque Religious Sites
164,Al-Fath Mosque,06:00 AM, 12:00 AM,4.7,9029,Mosque,Religious Sites,30.01005,31.23313,cairo,Mosque Religious Sites
165,Mosque of Gamal El-Din El-Ustadar,06:00 AM, 12:00 AM,4.7,156,Mosque,Religious Sites,30.06222,31.22958,cairo,Mosque Religious Sites
166,Masged and Madraset Soltan Hassn,06:00 AM, 12:00 AM,4.5,581,Mosque,Religious Sites,30.09782,31.27572,cairo,Mosque Religious Sites
167,Wekalet El Ghoury,06:00 AM, 12:00 AM,4.9,13,Mosque,Religious Sites,30.03467,31.25439,cairo,Mosque Religious Sites
168,Mohamed Ali Mosque: ,08:00 AM, 5:00 PM,4.7,6913,Historical landmark,Religious Sites Mosque,30.03287,31.25628,cairo,Historical landmark Religious Sites Mosque
169,Sultan Al-Ashraf Qaytbay Mosque and Mausoleum,06:00 AM, 12:00 AM,4.6,1360,Tourist attraction,Performing arts theater,30.04605,31.26021,cairo,Tourist attraction Performing arts theater
170,Alkekhia Mosque,06:00 AM, 12:00 AM,4.7,1647,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
171,Gamal Abdel Nasser Mosque,06:00 AM, 12:00 AM,4.6,1068,Mosque,Religious Sites,30.04749,31.26004,cairo,Mosque Religious Sites
172,Masjid El Fath,06:00 AM, 12:00 AM,4.7,520,Mosque,Religious Sites,30.0493,31.24658,cairo,Mosque Religious Sites
173,ElRahman ELRahim Mosque,06:00 AM, 12:00 AM,4.5,170,Mosque,Religious Sites,30.08342,31.29441,cairo,Mosque Religious Sites
174,Sayeda Aisha Mosque,06:00 AM, 12:00 AM,4.7,10233,Mosque,Religious Sites,30.05984,31.24617,cairo,Mosque Religious Sites
175,Aisha Fahmy Palace,06:00 AM, 12:00 AM,4.9,7,Mosque,Religious Sites,30.06131,31.28369,cairo,Mosque Religious Sites
176,El-Kobba Palace,06:00 AM, 12:00 AM,5,7,Mosque,Religious Sites,30.02467,31.25679,cairo,Mosque Religious Sites
177,Madrasa of Sarghatmish,06:00 AM, 12:00 AM,4.6,2919,Art Gallery,Historic Sites Points of Interest & Landmarks Architectural Buildings,30.05916,31.2249,cairo,Art Gallery Historic Sites Points of Interest & Landmarks Architectural Buildings
178,Bab El Nasr,06:00 AM, 12:00 AM,4.7,88,Palace,,30.09826,31.30416,cairo,Palace
179,Madrasa And Dome Of Sultan Al-Nassir Mohammed Ibn Qalawun:, 9:00 AM , 4:00 PM,4.6,27,Mosque,Religious Sites,30.03033,31.25128,cairo,Mosque Religious Sites
180,Mosque Sanjar Al-Jawli,06:00 AM, 12:00 AM,4.5,2134,Historical landmark,,30.05409,31.26484,cairo,Historical landmark
181,Masjid Al Rahman Al Rahim,06:00 AM, 12:00 AM,4.6,432,Mosque,Religious Sites,30.0498,31.2609,cairo,Mosque Religious Sites
182,Bab Zuweila:, 9:00 AM , 5:00 PM,4.7,15,Historical landmark,Religious Sites Mosque,30.02961,31.24723,cairo,Historical landmark Religious Sites Mosque
183,Kazndar Mosque,06:00 AM, 12:00 AM,4.8,5582,Mosque,Religious Sites,30.06131,31.28369,cairo,Mosque Religious Sites
184,El Qalaa,06:00 AM, 12:00 AM,4.6,884,Historical landmark,Historic Sites Points of Interest & Landmarks Castles,30.0427,31.25778,cairo,Historical landmark Historic Sites Points of Interest & Landmarks Castles
185,Masjed Al Ashraf Al Gamei Al Kabeer,06:00 AM, 12:00 AM,4.6,1073,Mosque,Religious Sites,30.08265,31.2456,cairo,Mosque Religious Sites
186,City Of The Dead Cairo Egypt,06:00 AM, 12:00 AM,4.7,86,Historical landmark,,30.09031,31.25914,cairo,Historical landmark
187,Bayt Almaamar Almasry,06:00 AM, 12:00 AM,4.8,836,Mosque,Religious Sites,30.02179,31.25153,cairo,Mosque Religious Sites
188,The complex of religions,06:00 AM, 12:00 AM,4.2,137,Cemetery,necropolis,30.04345,31.27235,cairo,Cemetery necropolis
189,Al-Hosary Mosque,06:00 AM, 12:00 AM,4.6,286,Historical place,,30.03249,31.2583,cairo,Historical place
190,Al Rahman Mosque,06:00 AM, 12:00 AM,4.6,297,Religious institution,Religious Sites,30.00652,31.2323,cairo,Religious institution Religious Sites
191,Southern Cemetery of Al Basatin,06:00 AM, 12:00 AM,4.7,51594,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites
